DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	co2_mean	h2o_mean	avg_signal_strength_7200_mean	co2_signal_strength_7200_mean	h2o_signal_strength_7200_mean	delta_signal_strength_7200_mean	flowrate_mean	rssi_77_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	241
DATA	2026-08-10T233000_AIU-1657.ghg	2026-08-11	00:00:00	223	0	18000	18000	0.049163830609354524	1	NaN	6.8240499833855734	1	NaN	31.447369591103953	0	NaN	51.205014989251715	0	NaN	0.7120915719782744	0	NaN	0.05109112547711424	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-6.363022135670636e-11	-3.1789574358701736e-12	-2.8882372178241994e-13	NaN	18.052375820552882	456.1025347913562	466.73801088799325	0	0	901.8943062944584	22.78682226117071	23.318169239077463	0.1	1	0.08194147781253194	1.994429844576148	2.040936297227441	0	1	NaN	NaN	NaN	NaN	9	302.94853560299345	294.00002367095084	97629.33288245939	1.1469177599880722	1018.1900336226099	0.025036698752649616	0.046143533864192184	0.016400666407280193	2225.2589979694226	2456.7726248603426	0.014299775432417018	90.57651389680066	231.51362689092002	292.3647786931342	-0.2857087718175854	-2.147374716358048	0.49257441478692787	2.221593398633063	2.307840385496878e-14	-3.5247560758325484e-15	2.221593398633063	3.5015687403864546	258.5787073667617	262.4212926332383	12.81014908922503	NaN	0.20704117224355534	0.150938972882352	-111.77987081590481	-0.01792004218093071	0.21699907089577397	0.028224376823003404	0	13.732833912670495	-2.0840105278600647	4.7140374883501455	11.738619879735118	17.902135979005877	25.108000255096076	37.61635965881399	0.04856990224595075	1.0122283211606276	8.532504488944229	1.0253394159574836	28.27299498995226	1.112275852002231	46.036255212298734	1.112275852002231	0.6402113025257391	1.112275852002231	0.036907397271555044	1.3069040701497163	NaN	NaN	800000009	800000009	800000009	800000019	800000019	800000019	899999999	899999999	89999	89999	89	89	9	2	0	36	18	0	5	NaN	0	18000	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	300	0	0	18000	0	20	18000	18000	18000	18000	100	NaN	0.11468511262044995	0.10012262490324149	0.08707020824101257	0.05679791774016382	80.79144068830864	0.02110803336854088	2.767746603342547e-7	NaN	0.007306601234303549	1.1794796560961858	0.016402641862368905	0.000036907397271555046	NaN	18.053641000376803	901.9609977484373	99.37840780936347	99.8922534298367	98.8645583152771	1.0277008735140172	0.0002808697635757401	45.06849233613191	250
DATA	2026-08-11T000000_AIU-1657.ghg	2026-08-11	00:30:00	223.02	0	18000	18000	0.06869285663576737	1	NaN	17.098170824782393	0	NaN	22.06750271689485	0	NaN	51.6910856657177	0	NaN	0.49968051644990347	0	NaN	0.05939854818445969	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.7712094437775606e-10	-1.3824805032999849e-11	-1.2608721424758009e-12	NaN	18.043983823118754	455.82485129290933	466.4314338013471	0.2	0	900.1649403777193	22.739853577182185	23.268986932926296	0.1	1	0.08209829319447363	1.997941108959091	2.0444311745162165	0	0	NaN	NaN	NaN	NaN	9	302.92781959109834	293.970751568638	97631.42102842515	1.1470770465577056	1018.1625787526399	0.025033670541680125	0.03237929746595374	0.01636884082977541	2220.7197435383378	2452.3524496864798	0.014270044788096061	90.5546730781803	231.632706148142	292.3320064853623	-0.26019038754070545	-2.0719108971361475	0.3621076163192724	2.119347949072242	1.833344654552964e-14	-1.5358079850564727e-14	2.119347949072242	3.597421930744337	258.15772932735	262.84227067265	9.837710493146048	NaN	0.24471438201375734	0.23698363519267948	-73.66601554972873	-0.027191643053475507	0.7748122224855128	0.059824687312944935	0	13.628809413347005	-2.0682244087586383	4.678329243960374	11.649701302294845	17.76652953798434	24.917810293420313	37.331420439075075	0.06787037415318138	1.012118431537296	18.090864194444134	1.0248390116824269	19.871926462062145	1.110486331510149	46.5481512009455	1.110486331510149	0.4499654811332873	1.110486331510149	0.041403058952383984	1.3064904823136014	NaN	NaN	800000009	800000009	800000009	800000019	800000019	800011019	899999999	899999999	89999	89999	89	89	11	6	1	78	16	0	7	NaN	0	18000	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	300	0	0	18000	0	15	18000	18000	18000	18000	100	NaN	0.17290620620598557	0.17708702296580175	0.12397404121357165	0.036567830403930725	57.97026451209668	0.010664020822135892	1.748196910385199e-7	NaN	0.01548993491416193	1.1923932015695229	0.011526468115309227	0.000041403058952383987	NaN	18.045231640275976	900.2328151768793	99.3790253346761	99.89027455817329	98.86777766587998	1.0224984746442898	0.00028074995618630456	43.85469184864891	220
DATA	2026-08-11T003000_AIU-1657.ghg	2026-08-11	01:00:00	223.041	0	18000	18000	0.21463990983140718	1	NaN	26.89060877849154	0	NaN	67.08560668842064	1	NaN	79.86191417278384	1	NaN	1.5189031399709962	1	NaN	0.04325981042925809	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.294820671644349e-10	2.600713294415075e-11	2.3838863354486952e-12	NaN	18.261242484850534	461.0180928219518	471.69940278545823	0.1	0	896.9568385427314	22.644315215222992	23.168960459067147	0.1	1	0.08221756529184004	1.9999028857689223	2.046238556651277	0	1	NaN	NaN	NaN	NaN	9	302.889994327969	293.8790789501815	97658.26426708157	1.1477921698981102	1018.10625127458	0.02501898513892997	0.09842492347012055	0.016309637057774322	2211.9977052880404	2438.554577242199	0.014209573375310735	90.70937865945264	226.5568719541584	292.26887052583913	-0.3220009725180615	-1.9214345867455749	0.45696271073270106	2.0011023003447344	1.6685832715660996e-13	2.8994854408383845e-14	2.0011023003447344	4.073444286538145	260.5134324742262	260.48656752577375	13.200272307190554	NaN	0.4324377606852969	0.35230616086512434	-258.51490522485415	-0.007748489388871871	0.400840211573029	0.053213357647053344	0	17.75072682064954	-2.6937412777759313	6.093250104830863	15.173054306320122	23.139865179339363	32.45398993209998	48.62199080954763	0.21209124110417013	1.0120168504553437	30.35650513057731	1.0242841559903144	60.52194561116679	1.1084509265353626	72.04821815829483	1.1084509265353626	1.3702935363305315	1.1084509265353626	0.02394472297392257	1.3060694581420593	NaN	NaN	800000009	800000009	800000009	800000019	800000019	801000019	899999999	899999999	89999	89999	89	89	14	31	0	46	9	0	11	NaN	0	18000	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	300	0	0	18000	0	20	18000	18000	18000	18000	100	NaN	0.21192893619368605	0.2927140354917505	0.1999693500448121	0.04706268370530309	69.40007153535574	0.01529823399669946	1.4271064630691434e-7	NaN	0.025977383693696492	1.84434851119634	0.03507788128889651	0.00002394472297392257	NaN	18.262626860206474	897.0248958329713	99.38695638423496	99.89168043963113	98.8822286245558	1.0094527467423018	0.00028111058495091534	43.5475702929603	171
DATA	2026-08-11T010000_AIU-1657.ghg	2026-08-11	01:30:00	223.062	0	18000	18000	0.1310640895598345	0	NaN	51.214388230750906	0	NaN	29.93655079013341	1	NaN	-9.870950066316494	1	NaN	0.6777975322577467	1	NaN	0.15125738351606124	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.2904395952104688e-9	-6.292626887473219e-11	-5.793050571276462e-12	NaN	18.478700888865486	466.54170051659133	477.4026960899274	0.1	1	901.0849519065259	22.750176449129803	23.279795913870075	0.1	1	0.08295471491885653	2.0178952764281592	2.0648714666389694	0	0	NaN	NaN	NaN	NaN	9	302.9225897555881	293.8731124807412	97638.52516385433	1.1475371383893087	1018.1668034558271	0.02502353505508884	0.04392128009030199	0.01638290456304306	2221.8895142246693	2437.658907370933	0.014276578957643341	91.14849938628306	215.7693931462636	292.34045753072405	-0.3637984688064444	-0.9490018890798682	0.4876412284948663	1.1272745358214882	-2.748593701166024e-14	-6.983389162319497e-14	1.1272745358214882	3.0289745838756232	271.9742520249332	249.0257479750668	25.631676345687502	NaN	0.3379546937690978	0.5661753829269409	-64.78052506191604	-0.03092133010785994	1.7107644962101085	0.1297023437179003	0	18.338970231053747	-2.783009484762372	6.295175032093101	15.675875926053177	23.906699875570133	33.52948649693212	50.233280644799784	0.12941148302735384	1.0127701691829878	52.26872490274805	1.0215329714125743	27.320378033202367	1.0957590247745332	-9.008321942269717	1.0957590247745332	0.6185644078060069	1.0957590247745332	0.10480531013116619	1.3058875716657294	NaN	NaN	800000009	800000009	800000009	800000019	800000019	800001019	899999999	899999999	89999	89999	89	89	22	8	0	26	0	0	4	NaN	0	18000	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	173	0	0	0	0	300	0	0	18000	0	20	18000	18000	18000	18000	100	NaN	0.8504920365977495	0.16928522951792346	0.11257349973820886	0.0781916191903965	50.90169191154087	0.03898124450496745	0.000004323120880187905	NaN	0.04473590451343802	-0.23066923332710212	0.015839107286178346	0.00010480531013116619	NaN	18.480098343933996	901.149553657658	99.36488078392877	99.86637990273371	98.86338779110379	1.0029956108629712	0.00028080365666634564	42.98403351367933	043
DATA	2026-08-11T013000_AIU-1657.ghg	2026-08-11	02:00:00	223.083	0	18000	18000	0.18497409419977706	1	NaN	5.274686449815705	2	NaN	84.44408009203131	1	NaN	22.109728136264412	1	NaN	1.9116764226285796	1	NaN	-0.011532546119548705	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.159121331364163e-9	5.522197095807782e-11	5.136053407129653e-12	NaN	18.680504784950177	471.59347404861035	482.43242577400696	0.1	0	889.9623057602596	22.467295203067597	22.98367624204945	0.1	1	0.08277310377398467	2.012153155799885	2.0583998324822073	0	1	NaN	NaN	NaN	NaN	9	302.80961869727236	293.7467820091267	97591.14101391766	1.1475973190718238	1018.0021620766183	0.025024922551890146	0.12387663218633195	0.016178298480509078	2193.197118510585	2418.761951915336	0.01409753945189945	90.67436821444402	225.56483340475097	292.13203361944505	-0.03066119063879597	-0.8484605091792418	0.3280996190864901	0.9102058581951623	-1.9912044351501054e-14	6.204978637932746e-14	0.9102058581951623	2.877841540568199	253.06962218432386	267.93037781567614	21.128908820105494	NaN	0.4014770202277676	0.5503256327223575	-1054.0774773136181	-0.0019003346937124816	0.06246366168080808	0.011245990980566231	0	20.522650706981896	-3.114391421677662	7.044761875680129	17.54245315321014	26.75334792093079	37.52195085609587	56.214719777086636	0.18245313571890198	1.0138170192084779	10.187690321518252	1.0215686886420137	77.19962770882283	1.0938405093160903	20.212935933492016	1.0938405093160903	1.7476738211348846	1.0938405093160903	-0.014792425562173733	1.3072753379271291	NaN	NaN	800000009	800000009	800000009	800000019	800001019	800011019	899999999	899999999	89999	89999	89	89	2	0	0	12	2	0	5	NaN	0	18000	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	83	0	0	0	0	300	0	0	18000	0	15	18000	18000	18000	18000	100	NaN	0.8227696146561155	0.15796090608454028	0.11992074470405921	0.20582969074425161	138.57186000322778	0.08983288085927778	7.046605416794088e-7	NaN	0.008720422157276793	0.5174561140594759	0.04474087817344093	-0.000014792425562173732	NaN	18.681948380772536	890.0218880229129	99.40706341891818	99.91354811435275	98.9005762854682	1.0129688708848426	0.00028059529924778163	41.604204318331355	180
DATA	2026-08-11T020000_AIU-1657.ghg	2026-08-11	02:30:00	223.104	0	18000	18000	0.26949673411714736	1	NaN	32.80718062900916	1	NaN	25.573886732521583	1	NaN	21.637742353238743	2	NaN	0.5789108718143673	1	NaN	0.1477080750940349	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.055492380409544e-10	-1.4315301034508148e-11	-1.3447469797590354e-12	NaN	18.838328548915744	475.86774062198754	486.71909456549685	0	0	882.5953744599152	22.29490082610489	22.803298095655638	0.1	1	0.08290901192320227	2.0147092069952315	2.0606512216184054	0.1	0	NaN	NaN	NaN	NaN	9	302.69473495907255	293.67483960823915	97550.70618379237	1.1474782872941836	1017.901926563612	0.025029163929400276	0.037513424493571	0.01605143986843643	2175.466709311674	2408.057922610766	0.013988447577763413	90.3411287944884	232.59121329909203	292.00204029119567	-0.5796687244039206	-1.7044717496879478	0.6164460065140767	1.902957029069046	8.060427855692982e-14	-1.6219551392129242e-14	1.902957029069046	4.002889872962801	269.782502531242	251.21749746875798	18.901434619495088	NaN	0.4846235504757802	0.4925626982480287	-297.98130985660623	-0.006722233689636193	1.2828390526688773	0.05795807891444556	0	20.688123406159125	-3.139502542175566	7.101563298618788	17.683896727673172	26.969058296540208	37.82448772500244	56.66797513614421	0.266312577961641	1.0119564617633832	33.76505264439407	1.0238456798691977	23.106125210121245	1.106801183667064	19.54980051751334	1.106801183667064	0.5230486562151248	1.106801183667064	0.10698832656431385	1.3057724593054774	NaN	NaN	800000009	800000009	800000009	800000019	800000019	800001019	899999999	899999999	89999	89999	89	89	13	5	0	58	0	0	13	NaN	0	18000	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	300	0	0	18000	0	15	18000	18000	18000	18000	100	NaN	0.3936032407069986	0.42025943030165674	0.1712627254874019	0.0814837381469786	73.01674238582812	0.050538562585168534	7.69402256340322e-7	NaN	0.028907931591071613	0.5004762227249485	0.013390081168828337	0.00010698832656431385	NaN	18.839775537278925	882.6571792644079	99.41595918104383	99.91934275987414	98.9125782546997	1.0067625101937159	0.00028077377299066736	44.62940630686671	240
DATA	2026-08-11T023000_AIU-1657.ghg	2026-08-11	03:00:00	223.124	0	18000	18000	0.07844706683976682	0	NaN	33.2720166080704	0	NaN	43.49832663846794	0	NaN	-9.623259812960317	1	NaN	0.9848524247399411	0	NaN	0.15315848974552956	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.5269867379178755e-10	1.7055163910180752e-11	1.5835999933628181e-12	NaN	18.58374288723731	469.86783077479055	480.7919124084238	0.1	1	898.6389928803528	22.72101787010383	23.24926483181426	0.1	1	0.08344010709339551	2.029843809808671	2.077036186110132	0.4	0	NaN	NaN	NaN	NaN	9	302.96035062747535	293.8740308427541	97517.85044204627	1.1461280235796931	1018.1496616526118	0.025054579047337225	0.06381843712314818	0.01634163352977771	2216.299161911331	2437.796750594441	0.014258122298360707	90.91402559999723	221.49758868311028	292.3000345740025	-0.5527188208379021	-1.0108457684836638	0.48454964525346494	1.2498382380472841	3.58582116948637e-15	1.8978882560520633e-14	1.2498382380472841	3.131039947879257	279.66933035413535	241.33066964586465	22.81083358374073	NaN	0.26162051075540793	0.290695335518356	-46.21801441570088	-0.04334024352460109	0.7649033693780337	0.10898395950261167	0	17.163976474714737	-2.6046996490830026	5.891837698285475	14.671508935639062	22.374976843439367	31.381223165306398	47.01479070919157	0.07748539711738285	1.012410980109286	35.36714705115252	1.0217000835785426	39.646295325531625	1.0971599308663695	-8.771063855167709	1.0971599308663695	0.8976379806016567	1.0971599308663695	0.11016984406022577	1.3054660741732584	NaN	NaN	800000009	800000009	800000009	800000019	800000019	800000019	899999999	899999999	89999	89999	89	89	4	5	0	21	1	0	9	NaN	0	18000	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	300	0	0	18000	0	15	18000	18000	18000	18000	100	NaN	0.28728513276711826	0.2144977848028433	0.07960775346675053	0.060856125135415266	21.263555836474524	0.03938398532790523	0.000001506220032641559	NaN	0.030307860207454445	-0.22486586449798224	0.02301295986977569	0.00011016984406022577	NaN	18.585164608296523	898.7041462088067	99.3668223745558	99.87039391962688	98.86325492583381	1.0071421775751659	0.00028114848852662063	43.79044531981152	145
DATA	2026-08-11T030000_AIU-1657.ghg	2026-08-11	03:30:00	223.145	0	18000	18000	0.13583282388355097	1	NaN	46.51444860674872	1	NaN	42.85936965633641	1	NaN	-43.0447045279174	1	NaN	0.9707138022899464	1	NaN	0.07534339997622168	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1643518263495168e-10	-5.703448603130342e-12	-5.25867908953973e-13	NaN	18.59062225204497	470.4986236065	481.59794130679774	0.1	0	910.641063253001	23.046854540491054	23.590542338292988	0.1	1	0.08396269433858776	2.0460995949412215	2.0943681940640464	0.2	0	NaN	NaN	NaN	NaN	9	303.115593433804	294.22358684647554	97486.18853107345	1.144252450290163	1018.3426833252809	0.025092527853439326	0.06290225438838852	0.01655091620745132	2247.352673688052	2490.7617852109443	0.014464392191822956	90.22752344410658	243.4091115228921	292.5234572372793	-0.6979878703306056	-0.5034360242278656	0.5501412622203701	1.0214158340344686	3.914578619933098e-14	-6.263113792339242e-15	1.0214158340344686	3.335805954668642	305.1983101149964	215.8016898850036	32.58883120661785	NaN	0.3445414199310846	0.33798025134291365	-75.49864139503724	-0.026531603257852397	1.085280744437452	0.11585923041447162	0	22.19620928223478	-3.368360392102593	7.619240378286429	18.97298585216306	28.93500054802372	40.58174968578961	60.798855992316156	0.13406294755329345	1.0132018306516344	48.4085255691916	1.0214879020367982	39.15098150839954	1.0947201833788323	-39.32028036156306	1.0947201833788323	0.8867232166066925	1.0947201833788323	0.045323916396193674	1.3064421457377386	NaN	NaN	800000009	800000009	800000009	800000019	800000019	800001019	899999999	899999999	89999	89999	89	89	13	0	1	3	0	0	4	NaN	0	18000	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	300	0	17997	18000	0	20	18000	18000	18000	18000	100	NaN	0.25418683078253845	0.3491727028888569	0.07260096901443203	0.07410435699408434	47.298717355126406	0.04785002342502937	0.0000022707963524081033	NaN	0.041543784481667075	-1.009927116984134	0.022775163693540254	0.000045323916396193676	NaN	18.59208913392255	910.7066628518467	99.33317309104072	99.84505050235323	98.82130487569174	1.0237543344597058	0.0002815892932348005	43.59870909818008	206
DATA	2026-08-11T033000_AIU-1657.ghg	2026-08-11	04:00:00	223.166	0	18000	18000	0.21633134404117604	1	NaN	24.473526122973237	1	NaN	3.2964792170710475	2	NaN	-2.8955057163420865	1	NaN	0.0746721289356873	2	NaN	0.10841914098341622	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.1949121250774562e-10	-1.0760910790071934e-11	-9.930714406721346e-13	NaN	18.525580885606697	468.98634902649087	480.02343786114466	0.1	1	908.2464895365255	22.99281235898004	23.533923444817326	0.1	1	0.08381759383058847	2.043926634882165	2.0920282478343046	0.2	0	NaN	NaN	NaN	NaN	9	303.15790068817137	294.3729903692041	97462.19565368997	1.1434138013081845	1018.314246870615	0.025111449885922024	0.004838753955032537	0.016499664005469487	2241.5310825035654	2513.7047388024907	0.01443017740960635	89.17240946808309	272.1736562989254	292.4817792505911	-0.5667607316755828	-0.6557668623967212	0.4547407064127454	0.9787936528481419	3.842092126342348e-14	-1.1848007026774399e-14	0.9787936528481419	2.7292746818912734	291.8359272874834	229.16407271251657	27.683886665263934	NaN	0.43496870268389604	0.47413514602916385	-288.6693510816457	-0.006939080967530404	7.424140882258676	0.04832293313694012	0	22.724387989801198	-3.448513548702292	7.8005470367554555	19.42446506731409	29.623534837755827	41.547428817179835	62.24561930091589	0.21346759372953505	1.0134153866711468	24.33103559961424	1.0215014132846318	3.012260044886163	1.0943541287769614	-2.6458580821347777	1.0943541287769614	0.06823397195854698	1.0943541287769614	0.0790715972249351	1.3067278112201484	NaN	NaN	800000009	800000009	800000009	800000019	800001019	800001019	899999999	899999999	89999	89999	89	89	12	0	1	19	29	0	2	NaN	0	18000	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	300	0	18000	18000	0	20	18000	18000	18000	18000	100	NaN	0.278485371136388	0.5606805635198989	0.10910435740204069	0.06971070573280314	13.92954942313975	0.03306133103865856	0.0000027898212202599606	NaN	0.020896586274604296	-0.06800538716995265	0.001753789333039635	0.0000790715972249351	NaN	18.52701249708897	908.3117113717958	99.34974955368043	99.86604431745741	98.83346058485242	1.0325942482352244	0.0002817843179784379	45.50154185420596	191
