DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	co2_mean	h2o_mean	avg_signal_strength_7200_mean	co2_signal_strength_7200_mean	h2o_signal_strength_7200_mean	delta_signal_strength_7200_mean	flowrate_mean	rssi_77_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	241
DATA	2026-07-04T233000_AIU-1657.ghg	2026-07-05	00:00:00	186	0	18000	18000	0.08312645524565611	1	NaN	37.97219086398399	0	NaN	128.81858169427554	0	NaN	0.5298046499431628	2	NaN	2.926943630825824	0	NaN	0.07796174630338241	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.9921432080816824e-10	-1.004574082925531e-11	-9.352726861207699e-13	NaN	17.071830395019052	437.9618302144158	447.85266247989927	0.1	1	860.8777869664722	22.08501387647199	22.583776902752422	0.1	1	0.08014894012525728	1.981835248887945	2.0265925740068407	0	1	NaN	NaN	NaN	NaN	9	304.1933043323093	297.5281809082583	97369.80136015806	1.130607170056452	1017.8576099814937	0.025404686684340223	0.1896659472775134	0.015665296794159397	2150.990239822771	3043.3464323329463	0.013855649609383971	70.67845503786043	892.3561925101753	291.82105232086525	-1.6604969423202558	-0.993261854008511	0.9330206223583927	2.148103044043599	-4.875059160919168e-14	-1.16691834559399e-14	2.148103044043599	4.5966794593836156	310.11334130300384	210.88665869699616	25.743705616168636	NaN	0.27115259368296923	0.4152296601967904	-45.03605022404947	-0.04447770153099116	0.294772620258335	0.1216895062152342	0	15.816543611273465	-2.4002215136265326	5.429307599131167	13.519743590045922	20.618462019383205	28.9176861492653	43.32396334394194	0.08212880991075627	1.0121473248666808	44.860490300366926	1.0249779186081867	115.94974549651391	1.1109863255210728	0.47687774167218017	1.1109863255210728	2.63454514568668	1.1109863255210728	0.0454130930292689	1.3066025151593776	NaN	NaN	800000009	800000009	800000009	800000019	800001019	800011019	899999999	899999999	89999	89999	89	89	8	1	0	38	7	0	7	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	301	0	0	0	0	16	18000	18000	18000	18000	87	NaN	0.18176693698359253	0.5437852223652934	0.10490716104469502	0.06795790398604787	3.8963175357630404	0.36433845517358343	0.0000012723779604794988	NaN	0.03898210191428032	0.012388605529937296	0.06844173612774744	0.0000454130930292689	NaN	17.073064220502012	860.9250740370453	88.41214072418214	88.46259312820435	88.36168912463718	0.10090451163591539	0.00028510089724376387	49.10001587369706	005
DATA	2026-07-05T000000_AIU-1657.ghg	2026-07-05	00:30:00	186.02	0	18000	18000	0.10445242512888818	1	NaN	45.30851310743806	0	NaN	177.75346986222405	0	NaN	-1.2288505923953186	2	NaN	4.0381744340593615	0	NaN	0.05609165581234664	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.045293718961992e-10	3.0537525467712855e-11	2.83962132099166e-12	NaN	17.04803834077667	437.11549039524056	446.985232575482	0.1	1	861.173880390717	22.08068960885567	22.57925513304766	0.1	1	0.08007877764765574	1.9786428427314384	2.02331912429465	0.2	0	NaN	NaN	NaN	NaN	9	304.0895784691705	297.36477673547444	97366.42620213359	1.1311911002852229	1017.8516028448182	0.025391614442603003	0.2616737033270466	0.015670292823186386	2150.49452799343	3013.7002512902804	0.013852913817333974	71.35728004378409	863.2057232968505	291.81736822610117	-1.7917124558100075	-0.6217829064666465	0.9771782269993239	2.133477160505978	4.559152946117364e-14	3.546034797741182e-14	2.133477160505978	4.131715986559375	321.861550895566	199.138449104434	27.25950651755271	NaN	0.30387241265159226	0.46163254744391524	-53.12097983089321	-0.03770826529135425	0.2548952385714692	0.12949950000297378	0	17.196952995956334	-2.6097039634056483	5.903157470909015	14.699696770012707	22.417965069404655	31.44151476345806	47.1051185097904	0.10320036356899166	1.012132336714681	54.937188433330824	1.024907093123172	160.03344897870733	1.1107269823690074	-1.1063480152200607	1.1107269823690074	3.6356138800612956	1.1107269823690074	0.023952684229181048	1.3065443737003588	NaN	NaN	800000009	800000009	800000009	800000019	800000019	800000019	899999999	899999999	89999	89999	89	89	14	3	0	20	5	2	18	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	301	0	0	0	0	16	18000	18000	18000	18000	87	NaN	0.23984677723692635	0.5765348946328247	0.10688342301807942	0.08510457639436354	0.5555212799194353	0.3864222680970587	1.9401438118055154e-7	NaN	0.04771401743283123	-0.028726431810285714	0.09439906139600707	0.00002395268422918105	NaN	17.04929455688737	861.2197568477919	88.40348122363619	88.44710617065428	88.35985618167453	0.08725364165670253	0.0002847938704653643	47.19651385194931	067
DATA	2026-07-05T003000_AIU-1657.ghg	2026-07-05	01:00:00	186.041	0	18000	18000	0.1687272868128591	1	NaN	35.19404403556099	0	NaN	189.4053010825826	0	NaN	7.070293875723426	1	NaN	4.303204325165638	0	NaN	0.09311598038797123	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.92934854970879e-10	-3.029524331756644e-11	-2.7949450152869507e-12	NaN	17.00811945031212	436.48913020890967	446.4456952965408	0.2	0	869.0079741504594	22.301850353866126	22.810568233087086	0.1	1	0.08017197551894564	1.9818918774337764	2.0270999573345807	0.3	0	NaN	NaN	NaN	NaN	9	304.207741200765	297.4427358415129	97320.47739632183	1.1302656048145148	1017.9791713667369	0.025410262793057376	0.2788476402707333	0.015815631405914143	2171.0089172522394	3027.812671519216	0.01399284499019114	71.70222047333357	856.8037542669767	291.9692111782192	-1.614311636822948	0.5045436966056402	0.8519349720185996	1.8937686234370388	-1.9812522687228944e-14	-3.486187033805186e-14	1.8937686234370388	4.11857513916851	358.35633039824575	162.64366960175423	26.734844978238517	NaN	0.38636911719439954	0.47939238122493266	-140.5340429897722	-0.014253485898401015	0.18581340561432352	0.0791675789128803	0	18.907581141825055	-2.869298384186851	6.490360757538142	16.161915980382823	24.64794162570755	34.56908859097071	51.790794021974236	0.16673447721175028	1.0119519947789681	45.768983769993575	1.0238057399115688	171.15217446509584	1.1066485230148755	6.388924512781722	1.1066485230148755	3.8885013946815645	1.1066485230148755	0.05496313511035206	1.3057479580347475	NaN	NaN	800000009	800000009	800000009	800000019	800000019	800000019	899999999	899999999	89999	89999	89	89	23	3	2	6	11	1	4	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	301	0	0	14997	0	16	18000	18000	18000	18000	87	NaN	0.23286018411362935	0.5896008530209427	0.13632372531529333	0.12526622184180955	2.482829298452982	0.5502535847956362	4.568544872107471e-7	NaN	0.03977881723234458	0.16604843144515735	0.10106232370838471	0.00005496313511035206	NaN	17.009356658361604	869.047515012905	88.39177982838949	88.44035599221124	88.34320487297906	0.09715085108640299	0.0002850666301609534	45.482619626955156	201
DATA	2026-07-05T010000_AIU-1657.ghg	2026-07-05	01:30:00	186.062	0	18000	18000	0.06713915150635495	1	NaN	39.67433326924846	0	NaN	122.10055740075948	0	NaN	-2.000842555268401	2	NaN	2.772926157859727	0	NaN	0.08169268297827403	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.490101784061309e-12	-4.3064481756358836e-13	-3.939537623627579e-14	NaN	17.294025071134747	443.2535500252894	453.44853413571934	0.1	1	877.2076544100435	22.483222114416435	23.000343956293765	0.1	1	0.08024693244502328	1.9801190875893304	2.025662507678308	0.3	0	NaN	NaN	NaN	NaN	9	303.866498536004	297.0174397070318	97302.67983206149	1.131598753174799	1018.0735394775108	0.025378571258122613	0.1796856150293103	0.01596416383423691	2188.264584393637	2951.519382938744	0.01410761879106711	74.14027490528773	763.254798545107	292.0959627366271	-1.461662383868798	-0.3480075246542011	0.812555843192166	1.7081607535412784	1.083036714914947e-13	-4.9092688076600735e-16	1.7081607535412784	3.8439561607765262	327.60777411079937	193.39222588920066	28.40431794777255	NaN	0.24358003810071746	0.42872626513216366	-31.232909883241774	-0.06413427399138294	0.32493163105741624	0.1413827200802113	0	14.700768542965823	-2.2308983423230844	5.046298124610708	12.565995843481797	19.163936528006047	26.87769346619277	40.26768256936173	0.06634874770222522	1.0119128669568427	46.25665964061747	1.0230459947502737	110.63394441128598	1.1036446187514197	-1.8129409787110666	1.1036446187514197	2.512517263933028	1.1036446187514197	0.04838047654322893	1.305343242369401	NaN	NaN	800000009	800000009	800000009	800000019	800001019	810001019	899999999	899999999	89999	89999	89	89	23	8	3	21	6	1	6	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	301	0	0	18000	0	21	18000	18000	18000	18000	87	NaN	0.142450500658081	0.6133561321052332	0.10164589750101316	0.08722964961017422	9.64022688912833	0.3623497989682557	4.3207598247999364e-7	NaN	0.040151581624692824	-0.047068384625160935	0.06523109706540767	0.00004838047654322893	NaN	17.295276785752563	877.2563235443286	88.36371473142836	88.39724007754856	88.33018964682685	0.0670545285443463	0.0002847743254743465	45.64377029701692	014
DATA	2026-07-05T013000_AIU-1657.ghg	2026-07-05	02:00:00	186.083	0	18000	18000	0.3559952635872465	1	NaN	120.8754220696755	1	NaN	174.7225179299909	1	NaN	-48.69566059742536	1	NaN	3.9662040425314635	1	NaN	0.16076137871599328	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	5.760093990268089e-10	2.9273623263901225e-11	2.6079446650612878e-12	NaN	17.75718555376969	454.33242150377464	465.07082541199907	0.1	1	902.4456215584248	23.089824864226678	23.63556594240366	0.1	1	0.08039757234812356	1.9802199295321108	2.027023548257029	0.1	0	NaN	NaN	NaN	NaN	9	303.50450177849666	296.55561725416663	97298.41052482661	1.133049068567259	1018.4106211006712	0.025340222810957734	0.25701002195603884	0.01641969189799204	2247.2058861277415	2870.57913539113	0.01449159824892204	78.2840597711496	623.3732492633885	292.52240751810007	-0.9361694125485583	-1.3565796641213317	0.7014861175419431	1.7913135758998677	2.609419190875209e-14	3.243810215772213e-14	1.7913135758998677	4.326224456415516	285.6093791605972	235.39062083940286	23.05436116933366	NaN	0.560528566764728	0.7509325313506149	-124.93437095774772	-0.016033217957910396	0.6918136454404163	0.18688249113784144	0	22.08967955788951	-3.352194095438892	7.582672171215647	18.88192584605403	28.7961282931663	40.38697937377349	60.50705457311828	0.35180256701227924	1.011917754354592	129.2660533150323	1.0233747947161098	158.12395479973517	1.1049718440907823	-44.06959404245654	1.1049718440907823	3.589416385351451	1.1049718440907823	0.08808102063143629	1.3054987515180507	NaN	NaN	800000009	800000009	800000009	800000019	800000019	800000019	899999999	899999999	89999	89999	89	89	11	1	0	7	12	1	11	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	301	0	0	3004	0	21	18000	18000	18000	18000	87	NaN	0.3982404631677957	0.9091429951765654	0.19448160435686868	0.15922615474715007	66.24882182137651	0.33852194054010815	7.853911047920218e-7	NaN	0.11202445797407336	-1.143135204004347	0.09310701224005546	0.00008808102063143628	NaN	17.758451399216874	902.4952614792348	88.25921580335829	88.26425973298815	88.25417023298476	0.010092169843681742	0.0002851684476966814	48.32654551717987	176
DATA	2026-07-05T020000_AIU-1657.ghg	2026-07-05	02:30:00	186.104	0	18000	18000	0.1829107737716285	1	NaN	44.70893747929443	1	NaN	389.7627685701809	1	NaN	54.2713058008684	1	NaN	8.843654407691917	1	NaN	0.10007690523028337	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.549295262776395e-10	2.206405132447196e-11	2.064401033317115e-12	NaN	17.69158310292846	451.9501645427594	462.07872337020467	0.1	0	858.0405866115368	21.91955248138644	22.410786901012347	0.1	1	0.080281714703239	1.9723116657856268	2.016512722229929	-0.2	0	NaN	NaN	NaN	NaN	9	303.0593689134387	296.0929300170395	97270.41908551507	1.1349995978765308	1017.73273039635	0.025307967656615665	0.5730688056184362	0.015607351322777498	2132.6959757390428	2791.437576680237	0.013750975200323656	76.40134938196921	658.7416009411941	291.68459473476474	-0.3935418725824727	-2.3166572345361054	0.46891306514085185	2.396175162725905	3.136872875839115e-14	2.5714461144086975e-14	2.396175162725905	4.49620914542687	260.64107775340676	260.35892224659324	11.285169547837441	NaN	0.40144105900534804	0.4783101748147856	-124.02611437499695	-0.016150630938445452	0.11470807651358343	0.09641466794143805	0	17.48797901800903	-2.6538682850377238	6.003057286691106	14.948461436483772	22.797346881880344	31.973603149759512	47.902283871668665	0.1806603562666398	1.0124566205419594	66.50705219642332	1.02623178699954	349.43994716793765	1.1153927068986893	48.65667980900456	1.1153927068986893	7.928736088190312	1.1153927068986893	0.04802598628308204	1.3077076082601073	NaN	NaN	800000009	800000009	800000009	800000019	800000019	800001019	899999999	899999999	89999	89999	89	89	7	7	0	31	25	0	9	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	301	0	0	0	0	16	18000	18000	18000	18000	87	NaN	0.4633508471101172	0.31439390937711464	0.17887559314233936	0.07587235344360573	46.173499561676856	0.6150040031524785	6.391886022323567e-7	NaN	0.057575570451129376	1.2590059279588017	0.20515838268120223	0.000048025986283082035	NaN	17.692551524422306	858.0739564334532	88.35147551430597	88.33764339319866	88.3653070933024	-0.027658634590087924	0.0002840807582930817	48.219022220823504	229
DATA	2026-07-05T023000_AIU-1657.ghg	2026-07-05	03:00:00	186.124	0	18000	18000	0.13020221535482387	0	NaN	9.29266583016348	0	NaN	98.43592356978642	0	NaN	21.149705184186548	0	NaN	2.232823318817451	0	NaN	0.04913478005229706	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.4234156744209294e-10	1.6482251419419414e-11	1.5536659334460856e-12	NaN	17.73586241659503	452.7020313135908	462.78880288356083	0.1	1	853.9043203977793	21.795625795440706	22.281259796209895	0.1	1	0.08049155538674542	1.9746320494814462	2.0186293391778647	0	0	NaN	NaN	NaN	NaN	9	302.7882284427219	295.78238031453816	97244.92546498036	1.1359471524806264	1017.6556376651214	0.02528805177418382	0.14468695105937082	0.015531334207574092	2120.0825431354283	2739.3937293146146	0.013672585184669477	77.39239965573933	619.3111861791863	291.58991157237756	-0.03815688932103049	-2.447034286544831	0.20456149813307162	2.4558660700956247	-9.711628839078242e-15	1.9302222773321243e-14	2.4558660700956247	5.644415119399227	251.89334733269652	269.10665266730354	4.77799097943868	NaN	0.3385556946703839	0.6368899719139489	-357.8479291465583	-0.005597629151514863	0.09440319644662468	0.023743854736127758	0	13.557389099605015	-2.0573861006069576	4.653812961410795	11.588652292306081	17.6734259457904	24.78723118155918	37.13578913487753	0.12858904579326935	1.0125451553948692	14.819019943264577	1.0265465605320443	88.16705019980863	1.11647064687665	18.943359812775455	1.11647064687665	1.9998943322547893	1.11647064687665	0.03141813811237842	1.3080082701516607	NaN	NaN	800000009	800000009	800000009	800000019	800001019	800011019	899999999	899999999	89999	89999	89	89	14	13	0	49	35	10	13	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	301	0	0	0	0	16	18000	18000	18000	18000	87	NaN	0.696485318999319	0.33687126525675576	0.24042335957182306	0.0665697219741162	37.75784500801209	0.23718581266169278	2.0791248152465733e-7	NaN	0.01281918787236697	0.4897172201026299	0.05170058018062468	0.000031418138112378416	NaN	17.737028829242988	853.9616124133908	88.33884935124713	88.31001849789088	88.36767988883122	-0.05765575401577884	0.0002837379912186104	47.95284402402243	019
DATA	2026-07-05T030000_AIU-1657.ghg	2026-07-05	03:30:00	186.145	0	18000	18000	0.1362050004833974	1	NaN	54.92181509924303	1	NaN	68.72495543482307	1	NaN	-15.351951110739197	2	NaN	1.5588294418680964	1	NaN	0.0818867213511194	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.1662118283039657e-10	-5.648143245609423e-12	-5.162486806869988e-13	NaN	18.18574875693568	463.5689353386357	474.2157215606078	0.1	1	880.7637816297644	22.451356498545326	22.96699672982761	0.1	1	0.08050311766025284	1.9750696911305903	2.0204311102679684	0.1	0	NaN	NaN	NaN	NaN	9	302.58111841498487	295.74290906941803	97273.26345768123	1.1361457094207437	1018.0293413152621	0.025277311139795845	0.10101214783305264	0.016005399023582893	2184.5025282056413	2732.839996432496	0.014087452772006804	79.93525164507746	548.3374682268545	292.06840343367605	-0.17710762498889032	-1.1263870859146328	0.3339440808430264	1.1881218907480464	2.624784301122443e-14	-6.4127787307035995e-15	1.1881218907480464	3.6090497900823673	259.93574971952614	261.06425028047386	16.324008742441006	NaN	0.34624181022489725	0.5341272849826434	-64.78632041877879	-0.030918564089640548	0.7991538845205861	0.13714217852500102	0	20.321800021827137	-3.0839115553185255	6.975816334985375	17.370769008436444	26.491518767532273	37.154731745592464	55.66455863346939	0.1345134352376444	1.0125754371135085	58.20343341950865	1.0216023018174962	62.68058588970133	1.0964312866468415	-14.001744840471734	1.0964312866468415	1.421730172107167	1.0964312866468415	0.04764403179370214	1.3056508098158586	NaN	NaN	800000009	800000009	800000009	800000019	800000019	800000019	899999999	899999999	89999	89999	89	89	4	0	0	20	2	0	24	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	301	0	17997	0	0	16	18000	18000	18000	18000	87	NaN	0.8151040983998231	0.16173701048512687	0.0914134610803368	0.11990872400387133	30.716994390839652	0.11826340186171161	8.968935816906851e-7	NaN	0.05032158089987397	-0.362057319210958	0.036763119212584676	0.000047644031793702145	NaN	18.187082995506866	880.8211785996851	88.22347296735975	88.17392898135715	88.27301739162868	-0.09908486449966818	0.0002825839500841943	48.338148904800434	034
DATA	2026-07-05T033000_AIU-1657.ghg	2026-07-05	04:00:00	186.166	0	18000	18000	0.4084590533795944	1	NaN	127.05120083249811	1	NaN	194.66509542094835	1	NaN	-18.268167573851734	1	NaN	4.4148687527172426	1	NaN	0.10936531673191208	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.452759002406346e-11	1.6824403072564106e-12	1.5209103446688102e-13	NaN	18.32348701926705	466.70411675070125	477.5645489911246	0.1	1	892.8562088816306	22.741286520045204	23.270487340107678	0.1	1	0.08071336846442365	1.9792976765141017	2.0253568980377277	0.1	0	NaN	NaN	NaN	NaN	9	302.51316140492753	295.61353847254287	97285.14509515015	1.1366560694425818	1018.1926478294989	0.02526316794261783	0.2860834951760773	0.01622116399033721	2212.9828087783994	2711.455459659651	0.014270951808925014	81.61604871267843	498.4726508812514	292.2760122866916	-0.4503431424288584	-0.6030464049594776	0.41041384914938744	0.8572709256943746	-8.167123586304367e-14	1.884335115240777e-15	0.8572709256943746	3.2434397737537024	287.751648927278	233.24835107272207	28.603443650511544	NaN	0.5994593322842197	0.7277723530429756	-145.36156254155446	-0.013780121546418946	0.6526655462180296	0.18313021973294208	0	22.473220165571785	-3.4103978623638116	7.714329250476663	19.209770588854777	29.296112211697753	41.088213928619545	61.557631717943806	0.4027462396152164	1.0141846483031995	136.78110434994213	1.0216649960967708	178.0177618096277	1.0935150146934398	-16.70591379943064	1.0935150146934398	4.037318823605658	1.0935150146934398	0.04503828811434255	1.3077846908544883	NaN	NaN	800000009	800000009	800000009	800000019	800000019	801000019	899999999	899999999	89999	89999	89	89	19	4	0	3	2	0	10	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	0	0	0	0	0	301	0	18000	14997	0	16	18000	18000	18000	18000	87	NaN	0.4458467432483839	0.7966326503313396	0.2130653125062278	0.17375001457704808	14.860733977372142	0.20490584695699088	0.0000011266660069895775	NaN	0.11818628290105403	-0.43186817837638297	0.10436959910176724	0.00004503828811434255	NaN	18.324886689524394	892.9100234267295	88.12334892823961	88.0528427535163	88.19385313712226	-0.14100920843664078	0.00028334333288431584	45.059524475845514	208
