DATAH	filename	date	time	DOY	daytime	file_records	used_records	Tau	qc_Tau	rand_err_Tau	H	qc_H	rand_err_H	LE	qc_LE	rand_err_LE	co2_flux	qc_co2_flux	rand_err_co2_flux	h2o_flux	qc_h2o_flux	rand_err_h2o_flux	ch4_flux	qc_ch4_flux	rand_err_ch4_flux	none_flux	qc_none_flux	rand_err_none_flux	H_strg	LE_strg	co2_strg	h2o_strg	ch4_strg	none_strg	co2_v-adv	h2o_v-adv	ch4_v-adv	none_v-adv	co2_molar_density	co2_mole_fraction	co2_mixing_ratio	co2_time_lag	co2_def_timelag	h2o_molar_density	h2o_mole_fraction	h2o_mixing_ratio	h2o_time_lag	h2o_def_timelag	ch4_molar_density	ch4_mole_fraction	ch4_mixing_ratio	ch4_time_lag	ch4_def_timelag	none_molar_density	none_mole_fraction	none_mixing_ratio	none_time_lag	none_def_timelag	sonic_temperature	air_temperature	air_pressure	air_density	air_heat_capacity	air_molar_volume	ET	water_vapor_density	e	es	specific_humidity	RH	VPD	Tdew	u_unrot	v_unrot	w_unrot	u_rot	v_rot	w_rot	wind_speed	max_wind_speed	wind_dir	yaw	pitch	roll	u*	TKE	L	(z-d)/L	bowen_ratio	T*	model	x_peak	x_offset	x_10%	x_30%	x_50%	x_70%	x_90%	un_Tau	Tau_scf	un_H	H_scf	un_LE	LE_scf	un_co2_flux	co2_scf	un_h2o_flux	h2o_scf	un_ch4_flux	ch4_scf	un_none_flux	un_none_scf	spikes_hf	amplitude_resolution_hf	drop_out_hf	absolute_limits_hf	skewness_kurtosis_hf	skewness_kurtosis_sf	discontinuities_hf	discontinuities_sf	timelag_hf	timelag_sf	attack_angle_hf	non_steady_wind_hf	u_spikes	v_spikes	w_spikes	ts_spikes	co2_spikes	h2o_spikes	ch4_spikes	none_spikes	head_detect_LI-7200	t_out_LI-7200	t_in_LI-7200	aux_in_LI-7200	delta_p_LI-7200	chopper_LI-7200	detector_LI-7200	pll_LI-7200	sync_LI-7200	chopper_LI-7500	detector_LI-7500	pll_LI-7500	sync_LI-7500	not_ready_LI-7700	no_signal_LI-7700	re_unlocked_LI-7700	bad_temp_LI-7700	laser_temp_unregulated_LI-7700	block_temp_unregulated_LI-7700	motor_spinning_LI-7700	pump_on_LI-7700	top_heater_on_LI-7700	bottom_heater_on_LI-7700	calibrating_LI-7700	motor_failure_LI-7700	bad_aux_tc1_LI-7700	bad_aux_tc2_LI-7700	bad_aux_tc3_LI-7700	box_connected_LI-7700	mean_value_RSSI_LI-7200	mean_value_LI-7500	u_var	v_var	w_var	ts_var	co2_var	h2o_var	ch4_var	none_var	w/ts_cov	w/co2_cov	w/h2o_cov	w/ch4_cov	w/none_cov	co2_mean	h2o_mean	avg_signal_strength_7200_mean	co2_signal_strength_7200_mean	h2o_signal_strength_7200_mean	delta_signal_strength_7200_mean	flowrate_mean	rssi_77_mean	CHK
DATAU		[yyyy-mm-dd]	[HH:MM]	[ddd.ddd]	[1=daytime]	[#]	[#]	[kg+1m-1s-2]	[#]	[kg+1m-1s-2]	[W+1m-2]	[#]	[W+1m-2]	[W+1m-2]	[#]	[W+1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[W+1m-2]	[W+1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1s-1m-2]	[µmol+1s-1m-2]	[µmol+1s-1m-2]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[mmol+1mol_a-1]	[mmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[mmol+1m-3]	[µmol+1mol_a-1]	[µmol+1mol_d-1]	[s]	[1=default]	[K]	[K]	[Pa]	[kg+1m-3]	[J+1kg-1K-1]	[m+3mol-1]	[mm]	[kg+1m-3]	[Pa]	[Pa]	[kg+1kg-1]	[%]	[Pa]	[K]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[m+1s-1]	[deg_from_north]	[deg]	[deg]	[deg]	[m+1s-1]	[m+2s-2]	[m]	[#]	[#]	[K]	[0=KJ/1=KM/2=HS]	[m]	[m]	[m]	[m]	[m]	[m]	[m]	[kg+1m-1s-2]	[#]	[W+1m-2]	[#]	[W+1m-2]	[#]	[µmol+1s-1m-2]	[#]	[mmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	[µmol+1s-1m-2]	[#]	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8u/v/w/ts/co2/h2o/ch4/none	8co2/h2o/ch4/none	8co2/h2o/ch4/none	8aa	8U	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#_flagged_recs]	[#]	[#]	[m+2s-2]	[m+2s-2]	[m+2s-2]	[K+2]	--	--	--	--	[m+1s-1K+1]	--	--	--	--	--	--	--	--	--	--	--	--	241
DATA	2026-05-29T233000_AIU-1657.ghg	2026-05-30	00:00:00	150	0	18000	18000	0.01721327134159395	0	NaN	7.756279234900914	0	NaN	18.280434501412145	1	NaN	10.2180375771687	0	NaN	0.4154688324308388	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.6442330535648465e-10	-6.744144050200114e-12	NaN	NaN	17.625931696714982	442.8333551332685	451.02563951789	0	0	722.9621258611062	18.16367777534404	18.49970037183853	0.1	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	299.5217343741523	297.80361245181484	96867.34922526985	1.1254955826871245	1015.5830269219384	0.025707565237442005	0.026922380341518354	0.012732029505581487	1749.7852330304845	3092.0492786476207	0.011312376255785673	56.589823620010144	1342.2640456171362	288.56272037995177	-0.5155971704936023	-1.7250817611149754	0.4220183789558866	1.8492828439503597	-1.9562970652199623e-14	-9.328488739527392e-15	1.8492828439503597	3.2748942464703052	267.64049770379575	253.3595022962042	13.191504302348395	NaN	0.12366870411820233	0.1810193597725278	-20.82646590738691	-0.09618050459965573	0.424294030555004	0.0548699288327264	1	28.382649262629165	12	23	40	64	110	284	0.017010277775886744	1.0119335832360694	8.677635514355275	1.0236152932912956	16.529705898674816	1.1059140805933931	9.23944975154496	1.1059140805933931	0.3756791234703453	1.1059140805933931	NaN	1	NaN	NaN	800000009	800000019	800000009	800000019	800000009	801000019	899999999	899999999	89999	89999	89	89	14	7	1	13	0	0	6	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	2822	0	0	0	0	301	0	0	18000	0	16	18000	18000	18000	18000	100	NaN	0.21548579735889645	0.09675903018580337	0.04979389200035579	0.057266377579469376	21.98384087845394	0.024106856484347485	NaN	NaN	0.00759175485167713	0.2418932505916044	0.009835460638816846	NaN	NaN	17.6272170124054	723.0144184544274	108.29886568090652	108.73676231024001	107.86097936905756	0.87578373244902	0.00027965531494636604	26.417384619209336	022
DATA	2026-05-30T000000_AIU-1657.ghg	2026-05-30	00:30:00	150.02	0	18000	18000	0.09854662697251913	0	NaN	11.806838420355712	0	NaN	43.26809247751254	1	NaN	11.710963824586115	1	NaN	0.9832339398574377	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.868092972694567e-12	-2.393447544882776e-13	NaN	NaN	17.784509775145064	446.2905871844762	454.56506722259513	0	0	725.3854268556125	18.203070659776596	18.540565890758312	0.1	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	299.37555931176087	297.65456908666863	96867.34922526985	1.126042618686038	1015.6012938739033	0.025695019219837086	0.06371355930276196	0.012765872486920427	1753.5580250448022	3064.6138062615896	0.011336935454376256	57.21954333893391	1311.0557812167874	288.5962936813094	-0.2610459803251066	-1.3931016517782204	0.32482954486806015	1.4540947181151014	-2.9202585722015937e-14	-3.2995528394578433e-16	1.4540947181151014	2.992855546335446	261.61327509855346	259.38672490144654	12.908195163195861	NaN	0.29583085447319246	0.32563258744266077	-187.27844992186738	-0.010695838206882285	0.2728763332123321	0.03489892731792894	0	17.90600525114838	-2.717305378672149	6.146552165218293	15.305783973243857	23.342286296136827	32.73788842656722	49.047322487338576	0.09737257213650853	1.0120573464400702	14.130265918649501	1.0221847034443254	39.340006571267324	1.0998496504856754	10.64778610368676	1.0998496504856754	0.8939712254518224	1.0998496504856754	NaN	1	NaN	NaN	800000009	800000019	800000009	800000019	800000019	800000019	899999999	899999999	89999	89999	89	89	16	6	1	31	38	0	5	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	1580	0	0	0	0	301	151	0	18000	0	16	18000	18000	18000	18000	100	NaN	0.32632906555717506	0.2333674757561034	0.09156863357204313	0.10391085471819797	9.910964380641074	0.05787788424056358	NaN	NaN	0.012355839588278895	0.2786391828178239	0.023394103647169994	NaN	NaN	17.785818309889883	725.4323514087113	108.28857353867426	108.70648664834764	107.87068652470907	0.8357803800221951	0.0002788957603495672	30.542432986325437	238
DATA	2026-05-30T003000_AIU-1657.ghg	2026-05-30	01:00:00	150.041	0	18000	18000	0.08797431829724607	0	NaN	-16.650200158840008	2	NaN	-32.67036841025436	2	NaN	20.374905093563516	1	NaN	-0.741900196629111	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4.4784421884563255e-10	1.7078937167469333e-11	NaN	NaN	18.080400023144584	452.6061146579287	460.55555045233814	0	0	689.5121181958043	17.260536294920108	17.563695091520202	0.1	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	298.5760252083671	296.94810590977835	96942.98252162436	1.129999803531614	1015.0600963905762	0.02560640294957546	-0.04807513274156639	0.012146761494622316	1664.5606743899252	2937.654629785265	0.010749348324362328	56.66291256680505	1273.09395539534	287.78685201697306	-0.4774947466835811	-2.0135644960885415	0.424511751888933	2.1124993350319463	2.891509777670073e-15	2.4769596816019034e-14	2.1124993350319463	3.6815055252369766	264.34063951707117	256.6593604829289	11.592656663541435	NaN	0.2790222080053058	0.34235857478824605	111.46820034652818	0.01797014748397155	0.5096422528744412	-0.052024817366750575	0	17.30394756243541	-2.6259408016565273	5.939885243242064	14.791154116186252	22.557443292931115	31.637134955148568	47.39819320360887	0.08688004636587193	1.0125952042747066	-18.124684628160434	1.0276293413178719	-28.81859978019791	1.1336556480687556	17.97274607000219	1.1336556480687556	-0.6544317032186789	1.1336556480687556	NaN	1	NaN	NaN	800000009	800000019	800000009	800000019	800000009	800000019	899999999	899999999	89999	89999	89	89	9	5	0	17	4	0	8	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	3398	0	0	0	0	301	0	0	18000	0	21	18000	18000	18000	18000	100	NaN	0.41754921889839824	0.17843779761719133	0.08873013306090254	0.27812111504029513	39.18441431901572	0.1775895300359853	NaN	NaN	-0.015801573487608956	0.4682576008772217	-0.01705040610341941	NaN	NaN	18.082088152620486	689.5384011744642	108.48228309398226	108.883204887814	108.08136276944478	0.8018374407887467	0.0002781480406540343	22.37980484227401	219
DATA	2026-05-30T010000_AIU-1657.ghg	2026-05-30	01:30:00	150.062	0	18000	18000	0.07279673236603315	1	NaN	51.24648799177488	1	NaN	23.664134684058617	1	NaN	-5.030561065851356	2	NaN	0.5371087299451951	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.000989484148707e-10	3.5855662558114797e-12	NaN	NaN	18.232186245656102	454.8428385301517	462.3761341055344	0.1	1	653.0809045181032	16.29257009546106	16.562414392907577	0.1	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	297.9597899390327	296.4259503066361	96942.98252162436	1.1323991412869463	1014.5099159747667	0.02555355353339308	0.03480464570044864	0.011489287302719373	1571.698776204682	2846.831702408526	0.010145969635460916	55.208700074365694	1275.132926203844	286.9006566875621	-0.6178311433167712	-2.187510412832084	0.4758725356721946	2.322363407847297	-8.761379149786117e-15	5.490232880805488e-15	2.322363407847297	3.7153598683094926	266.7715766996075	254.22842330039245	11.82415622242083	NaN	0.2535456576981182	0.22708134413681066	-27.169392259261723	-0.07372634547308164	2.165576247598741	0.1759349423844566	0	18.532099760095523	-2.8123176358929527	6.361470149750523	15.840960142711616	24.15846372216244	33.882588871524554	50.762292345616316	0.07190835267342853	1.012354332418644	51.561326513098734	1.0258490973228909	21.241166023608805	1.1140694751764928	-4.515482362582824	1.1140694751764928	0.48211421451979497	1.1140694751764928	NaN	1	NaN	NaN	800000009	800000019	800000009	800000019	800000009	800000019	899999999	899999999	89999	89999	89	89	12	0	1	32	32	0	12	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	2789	0	0	0	0	301	0	0	18000	0	16	18000	18000	18000	18000	100	NaN	0.22697258916990667	0.16546563228663025	0.061724466817084364	0.11598648936029697	16.516284178787416	0.054638970288873386	NaN	NaN	0.04488159208612904	-0.1172881676105327	0.012522757982310877	NaN	NaN	18.233535711921224	653.1258168619227	108.50093442959255	108.85490567567612	108.14696354103087	0.7079274511072415	0.00027773022427249485	21.169255350708912	069
DATA	2026-05-30T013000_AIU-1657.ghg	2026-05-30	02:00:00	150.083	0	18000	18000	0.10234214227262944	0	NaN	33.03716789082851	0	NaN	21.14313102677806	1	NaN	2.7448858710752257	1	NaN	0.47990048640056787	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-3.2597061106330515e-10	-1.1749825051317619e-11	NaN	NaN	18.1547774569538	452.8173741528604	460.3309418407903	0.1	1	654.4008929792299	16.32210004803123	16.592931536662775	0.1	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	297.9871805165609	296.4504313414881	96961.90007108558	1.1325141054844157	1014.5269282670571	0.025550916566181	0.031097551518756796	0.011511299296961637	1574.839845123641	2851.037376916935	0.010164376091402283	55.23743244736578	1276.197531793294	286.9313755114988	-0.5858023912785113	-1.9871715167588897	0.36866238810958174	2.1042640126780885	-2.0397804650427067e-14	-1.7955087129886523e-14	2.1042640126780885	4.465316210081154	267.4250985056764	253.57490149432363	10.090168009274846	NaN	0.3006113970032363	0.3985428683903901	-70.25092012184716	-0.028513505538798785	1.5625485103879124	0.09565114425932188	0	15.930051678681671	-2.4174468007726544	5.468271245556598	13.616768578847319	20.76643124921428	29.125215098028836	43.634879525915466	0.10111822299772644	1.0121038447731674	33.61392426886183	1.0247667331993562	19.044027417486426	1.1102237233372292	2.472371841257683	1.1102237233372292	0.43225565830824764	1.1102237233372292	NaN	1	NaN	NaN	800000009	800000019	800000009	800000019	800000019	800001019	899999999	899999999	89999	89999	89	89	7	6	0	34	30	0	9	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	2028	0	0	0	0	301	151	0	18000	0	16	18000	18000	18000	18000	100	NaN	0.35576853627247523	0.3146615737395275	0.12665562676877745	0.078703572097223	4.475918400494846	0.030977975539416905	NaN	NaN	0.029255802705509724	0.06421432555586798	0.011226873362160602	NaN	NaN	18.15617959294561	654.4475920591512	108.34915897983976	108.69173372014362	108.00660916582746	0.6850803219113083	0.00027728627351461906	23.630029393195976	023
DATA	2026-05-30T020000_AIU-1657.ghg	2026-05-30	02:30:00	150.104	0	18000	18000	0.18803757341861863	0	NaN	-168.5203540969403	1	NaN	371.19567017254684	1	NaN	79.21114879902656	1	NaN	8.370795584552361	1	NaN	0.03532881354884057	0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.333015785100757e-10	2.0318333867261457e-11	3.1594106048139146e-12	NaN	17.54490641103386	438.8515784193875	445.1187425408464	0.2	0	562.8965381199824	14.079757876930547	14.280828484271057	0.1	1	0.08752790969809039	2.0828449838174077	2.1125897357906287	0	0	NaN	NaN	NaN	NaN	9	299.15106487782816	289.7347547211495	97027.47203582604	1.1604684898868272	1013.167158847547	0.02482652284151236	0.542427553878993	0.01021960436864734	1366.4897617923693	1881.5526431183143	0.008806447101070354	72.6256459945587	515.062881325945	284.7662477712929	-0.5304408942776483	-2.1118006522357082	0.6063088140498136	2.260238906642291	1.0830335724436673e-14	3.6096036289586426e-14	2.260238906642291	5.321559204761481	265.09982733739037	255.90017266260963	15.560150981914635	NaN	0.40253684906414267	0.8187492633748273	33.065482340557736	0.060579790712534706	-0.45399331845278584	-0.3560674412661652	0	17.266237942603208	-2.620218221362346	5.926940751035221	14.758920500325573	22.508284994924622	31.56818974322891	47.2949007126907	0.18528471020974185	1.0148574763981364	-143.67979565429394	1.032564916569066	321.1211420912849	1.1559365657307834	68.52551528115148	1.1559365657307834	7.241570024441905	1.1559365657307834	0.046207558476829357	1.4740094479760257	NaN	NaN	800000009	800000019	800000009	800000019	800000019	800000019	899999999	899999999	89999	89999	89	89	10	2	0	11	11	0	2	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	1266	0	0	0	0	301	0	0	18000	0	21	18000	18000	18000	18000	100	NaN	0.9822088357558341	0.4696060907716967	0.18568360022212374	2.9515501263611283	341.27878259366736	2.9086694873806707	4.037698546079689e-7	NaN	-0.12220282481857306	1.7255521437135806	0.18235115238841237	0.00004620755847682936	NaN	17.547592938138514	563.0624738822868	108.49702523591785	108.86753420511884	108.1265093504588	0.7410227521426173	0.0002781189658142265	26.594838561243982	212
DATA	2026-05-30T023000_AIU-1657.ghg	2026-05-30	03:00:00	150.124	0	18000	18000	0.6392984716393528	1	NaN	605.5132394643497	1	NaN	-568.6666245143288	2	NaN	-167.95511884108961	2	NaN	-12.843983097720947	2	NaN	0.08346762383524774	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-8.362527966706136e-10	-2.3911264001011097e-11	-4.3147648743594375e-12	NaN	16.917682261974836	426.71772801404563	431.98854415573794	0.1	1	483.7331109227226	12.201286846607022	12.351997106431046	0.1	1	0.0872891803413539	2.0908259799490962	2.1166518564034784	0	1	NaN	NaN	NaN	NaN	9	300.1992186355593	291.35483245682724	97013.21447118014	1.1546701028544322	1012.1534283408073	0.02496901159548388	-0.8322901047323173	0.008805602572702484	1184.0035689289007	2084.3566643912586	0.007626076531239845	56.80426911364	900.3530954623579	282.61626577363774	0.3398229339291978	-1.2448517252276725	-0.023181613532715046	1.2906094806066564	7.173466003922929e-14	-4.943069527616226e-14	1.2906094806066564	6.069459545437267	235.73126265119117	285.2687373488088	-1.029188198968657	NaN	0.7440855531881216	1.6710500890262663	-58.101182518839224	-0.03447606250269515	-1.0647947555942638	0.6963001669142079	0	21.98058993148069	-3.3356393237608812	7.545225232604758	18.788677674163306	28.65391894742683	40.18752874434632	60.208241185573144	0.6315189315097108	1.0123187757982872	562.1188280371888	1.021778265109004	-518.0703775698105	1.097662883529179	-153.01156790606274	1.097662883529179	-11.701209260556652	1.097662883529179	-0.06111040982844852	1.30537304855976	NaN	NaN	800000009	800000019	800000009	800000019	800000019	800000019	899999999	899999999	89999	89999	89	89	2	6	0	28	25	0	5	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	352	0	0	0	0	301	0	0	18000	0	21	18000	18000	18000	18000	100	NaN	1.7015554276832687	1.2935651430818036	0.3469796072874601	3.891768582773546	303.74864136036655	2.335786850701205	3.8270875624365215e-7	NaN	0.48097650318504215	-3.867751821346961	-0.2957774634220103	-0.00006111040982844852	NaN	16.91901400910648	483.7822377172903	108.52943469344245	108.98889265166389	108.06997520743477	0.9189296673436987	0.0002799945645577584	31.906700699006585	143
DATA	2026-05-30T030000_AIU-1657.ghg	2026-05-30	03:30:00	150.145	0	18000	18000	0.11948555691633175	1	NaN	30.59582363773579	1	NaN	130.76321253414204	1	NaN	15.805654347754274	1	NaN	2.9473993839946724	1	NaN	0.020933054370975587	2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-2.901210477432866e-10	-9.086380989042362e-12	-1.4639182908993964e-12	NaN	17.51592082810561	437.8847361452789	443.97349189823143	0.1	0	548.5859480243548	13.714232637898512	13.904928056072736	0.1	1	0.08838337335972501	2.098122417212441	2.127296658476613	0	0	NaN	NaN	NaN	NaN	9	298.2700275166829	289.23153520672724	96998.40979730092	1.1623008218880169	1012.9521055939401	0.024790828929400068	0.19099148008285477	0.009968624973090371	1330.6155852961426	1822.1868310947007	0.008576630752869595	73.0230052478625	491.57124579855804	284.3644412579229	0.48329550620820466	0.04263405773695389	-0.03533006286826277	0.4864570099632942	-3.13402628728782e-14	-1.656327695188971e-14	0.4864570099632942	3.934595088992405	155.95868570045036	5.041314299549632	-4.164905141907111	NaN	0.3206257760392756	0.3691684091955973	-92.00654178732238	-0.021771278010103493	0.2339788312385433	0.08105060459721303	0	19.091260170765914	-2.897172385466855	6.553411824328666	16.31892205169533	24.887385790946972	34.904912437296254	52.29391933888688	0.11720954101306391	1.0194183501069607	37.51401411075735	1.0242911594915047	119.5105765092773	1.0941559847968036	14.445521998117618	1.0941559847968036	2.693765262858783	1.0941559847968036	0.0015138563894386472	1.315215865657735	NaN	NaN	800000009	800000009	800000009	800000019	800000019	800000019	899999999	899999999	89999	89999	89	89	0	5	0	0	0	0	1	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	200	0	0	0	0	301	151	16798	18000	0	16	18000	18000	18000	18000	100	NaN	0.4440705596029152	0.20263008581470804	0.09163617297357138	0.6412331683767944	86.0164903966133	0.6939717108974225	2.2657158412154592e-7	NaN	0.031862957259251076	0.36309740262664797	0.06770950681860918	0.0000015138563894386471	NaN	17.51697754426772	548.5999897875722	108.5952896792094	108.9927494178348	108.1978277636634	0.7949285253336036	0.00027752652144085404	35.72462025516324	190
DATA	2026-05-30T033000_AIU-1657.ghg	2026-05-30	04:00:00	150.166	0	18000	18000	0.0658882219035253	1	NaN	41.212690051022484	1	NaN	72.73296919661371	1	NaN	-4.640460844152075	1	NaN	1.6530301089419817	1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-5.6288081444642315e-11	-1.8211142055544682e-12	NaN	NaN	17.236491756622012	431.7344638989069	437.85040379508365	0.1	1	557.6601508931799	13.968103816204572	14.165975634525447	0.1	1	NaN	NaN	NaN	NaN	0	NaN	NaN	NaN	NaN	9	299.1186247855292	297.7977088764222	96976.09065574758	1.128547395264647	1013.2595915007082	0.025644179195622153	0.10711635105944041	0.00981529699822317	1348.9253383743778	3091.7144301177514	0.008697283817594086	43.63033420014158	1742.7890917433735	284.5706940413075	-0.3005469048462578	-1.1606427197529918	0.2756121289498782	1.2301959236449658	1.4428970357262107e-14	-3.2656344596931826e-15	1.2301959236449658	3.7014774159213415	265.5177799128659	255.4822200871341	12.946386987175824	NaN	0.24162618249134768	0.4115978382337868	-29.236402503222948	-0.06851390145484497	0.5666301060749388	0.14915796319056512	0	18.393180754351224	-2.791236140818301	6.3137837504911	15.722214266013982	23.97736876778393	33.628600623079535	50.38177166672708	0.06507735867594903	1.012459989834774	44.73466232307176	1.0216661387830757	66.30637256190575	1.096922760006331	-4.230435371880963	1.096922760006331	1.5069703804235415	1.096922760006331	NaN	1	NaN	NaN	800000009	800000019	800000009	800000019	800000019	800000019	899999999	899999999	89999	89999	89	89	4	1	0	3	2	0	4	NaN	0	0	0	0	0	0	0	0	0	NaN	NaN	NaN	NaN	0	2130	0	0	0	0	301	0	16703	18000	0	16	18000	18000	18000	18000	100	NaN	0.6199015457378146	0.14617225575610704	0.0571218749736519	0.326158113393754	11.792661945098562	0.22835578413059518	NaN	NaN	0.03912043157455872	-0.11001635656443816	0.03919014856170894	NaN	NaN	17.237817238460565	557.6875846892896	108.55347609477572	108.95442775662738	108.15252974552578	0.8019084944840925	0.00027825247150677665	30.159793817275364	129
